id	kloeke	place	province	country	dictionary	point
1184	O164p	Hamme	BeBr	BE		50.9095, 4.29724
1185	Q160a	Haren	BeLb	BE		50.8018, 5.41448
1186	P060b	Haren	BeBr	BE		50.8903, 4.41943
1187	Q002p	Hasselt	BeLb	BE		50.9314, 5.345
1188	Q094p	Hees	BeLb	BE		50.8536, 5.62135
1189	L330p	Herten	Lb	NL		51.1912, 5.97033
1190	P121a	Herten	BeLb	BE		50.8426, 5.32933
1191	L263b	Heusden	NB	NL		51.3893, 5.77505
1192	K360p	Heusden	BeLb	BE		51.0383, 5.29002
1193	P006p	Hofstade	BeBr	BE		50.9969, 4.49427
1194	L246p	Horst	Lb	NL		51.4563, 6.05655
1195	K221p	Kapellen	BeAnt	BE		51.3172, 4.43727
1196	P097p	Kapellen	BeBr	BE		50.8945, 4.96451
1197	L318a	Keent	Lb	NL		51.2448, 5.72317
1198	P101p	Kerkom	BeBr	BE		50.8614, 4.87665
1199	P180p	Kerkom	BeLb	BE		50.7817, 5.18632
1200	L298p	Kessel	Lb	NL		51.2995, 6.05226
1201	K292p	Kessel	BeAnt	BE		51.1403, 4.63618
1202	L288b	Laar	Lb	NL		51.2869, 5.72745
1203	P005a	Laar	BeBr	BE		50.9959, 4.41179
1204	P167p	Laar	BeBr	BE		50.776, 5.0359
1205	L332a	Leeuwen	Lb	NL		51.2166, 5.99696
1206	L355a	Linde	BeLb	BE		51.115, 5.46766
1207	P087p	Linden	BeBr	BE		50.9024, 4.77415
1208	P061p	Machelen	BeBr	BE		50.9141, 4.4362
1209	Q204a	Mechelen	Lb	NL		50.8011, 5.93591
1210	K330p	Mechelen	BeAnt	BE		51.0296, 4.49166
1211	K192p	Meer	BeAnt	BE		51.4455, 4.74739
1212	L364p	Meeuwen	BeLb	BE		51.1043, 5.53597
1213	P148p	Meldert	BeBr	BE		50.7943, 4.84738
1214	P045p	Meldert	BeLb	BE		51.0001, 5.14337
1215	K335p	Muizen	BeBr	BE		51.0137, 4.52903
1216	P181p	Muizen	BeLb	BE		50.7692, 5.17998
1217	P117p	Nieuwerkerken	BeLb	BE		50.8714, 5.20021
1218	K202a	Putte	BeAnt	BE		51.3566, 4.41554
1219	K202p	Putte	NB	NL		51.3655, 4.40688
1220	Q241p	Rutten	BeLb	BE		50.7584, 5.44738
1221	K285p	Schelle	BeAnt	BE		51.1282, 4.35052
1222	K227p	Schoten	BeAnt	BE		51.256, 4.51008
1223	K276a	Sluis	BeAnt	BE		51.2139, 5.14621
1224	P151p	Sluizen	BeBr	BE		50.7784, 4.84265
1225	Q284a	Stokkem	Be, Luik	BE		50.6437, 5.9973
1226	L423p	Stokkem	BeLb	BE		51.0334, 5.76266
1227	P038p	Tielt	BeBr	BE		50.946, 4.90483
1228	Q162p	Tongeren	BeLb	BE		50.7912, 5.46808
1229	L361p	Tongerlo	BeLb	BE		51.1374, 5.67234
1230	K309p	Tongerlo	BeAnt	BE		51.0988, 4.92402
1231	Q101p	Valkenburg	Lb	NL		50.8775, 5.84763
1232	L244a	Veulen	Lb	NL		51.4901, 5.97415
1233	P196p	Veulen	BeLb	BE		50.7662, 5.32058
1234	O248p	Vorst	BeBr	BE		50.8051, 4.33315
1235	K352p	Vorst	BeAnt	BE		51.0817, 5.03159
1236	L289p	Weert	Lb	NL		51.2598, 5.71831
1237	L354p	Wijchmaal	BeLb	BE		51.1399, 5.43499
1238	P029a	Wijchmaal	BeBr	BE		50.931, 4.70076
1239	I080a	t Zand	Ze	NL		51.4857, 3.60383
1240	P142p	Bevekom	WaBr	BE		50.784, 4.78604
1241	P201p	Ohain	WaBr	BE		50.6999, 4.46807
1242	P216p	Cras-Avernas	BeLb, Luik	BE		50.7033, 5.13217
1243	P225p	Korsworm	BeLb, Luik	BE		50.7131, 5.16354
1244	E201p	Zegwaard	ZH	NL		52.0533, 4.50511
1245	P226p	Roost Krenwik	BeLb, Luik	BE		50.714, 5.19692
1246	P228p	Bettenhoven	BeLb, Luik	BE		50.7157, 5.2416
1247	P229p	Borgworm	BeLb, Luik	BE		50.7039, 5.26569
1248	Q185p	Bassenge	BeLb, Luik	BE		50.7704, 5.62093
1249	Q276p	Liege	BeLb, Luik	BE		50.6604, 5.58752
1250	Q277p	Herve	BeLb, Luik	BE		50.6598, 5.81507
1251	Q280p	Verviers	BeLb, Luik	BE		50.6026, 5.85177
1252	L247a	Ooijen	Lb	NL		51.5083, 6.15167
1253	L223p	Wetten	Dui	DE		51.5711, 6.29077
1254	O283p	Roosbeek	BeBr	BE		50.6914, 4.15708
1255	O284p	Quenast	WaBr	BE		50.6939, 4.18646
1256	O292p	Klabbeek	WaBr	BE		50.6923, 4.24491
1257	P141p	Deurne	WaBr	BE		50.7813, 4.75509
1258	P153p	Zittert-Lummen	WaBr	BE		50.7668, 4.91111
1259	P156p	Neerheilissem	WaBr	BE		50.7609, 4.99375
1260	P200p	Waterloo	WaBr	BE		50.7187, 4.396
1261	Q281p	Limbourg	BeLb, Luik	BE		50.6235, 5.92892
1262	M136p	Ginderich	Dui	DE		51.642, 6.54055
1263	Q189p	Lanaye	BeLb, Luik	BE		50.7873, 5.69674
1264	Q176p	Eben-Emael	BeLb, Luik	BE		50.8002, 5.67125
1265	Q184p	Roclenge-Sur-Geer	BeLb, Luik	BE		50.7667, 5.60567
1266	Q186p	Wonck	BeLb, Luik	BE		50.7781, 5.64014
1267	Q246p	Vise	BeLb, Luik	BE		50.7393, 5.71067
1268	L221p	Twisteden	Dui	DE		51.5529, 6.21419
1269	L197p	Winnekendonk	Dui	DE		51.5981, 6.28722
1270	L192c	Heukelom	Lb	NL		51.6167, 6.03333
1271	L182b	Hoek	NB	NL		51.5957, 5.6309
1272	L171p	Kalkar	Dui	DE		51.736, 6.28919
1273	L167p	Pfalzdorf	Dui	DE		51.7081, 6.16685
1274	L166p	Kessel (D)	Dui	DE		51.7066, 6.07767
1275	L131p	Bedburg-Hau	Dui	DE		51.7667, 6.18333
1276	L127p	Kranenburg	Dui	DE		51.7883, 6.01147
1277	Y382d	Kevelaer	Ri	DE		51.5834, 6.24656
1278	L127b	Ntterden	Dui	DE		51.7878, 6.06053
1279	L127a	Mehr	Dui	DE		51.7256, 6.4749
1280	L126p	Kleef	Dui	DE		51.7873, 6.12934
1281	L089a	Nieuwe Schans	Gl	NL		51.8364, 5.49611
1282	L084b	Azewijn	Gl	NL		51.8833, 6.3
1283	M016p	Sdlohn	Dui	DE		51.95, 6.86667
1284	G236p	Gronau	Dui	DE		52.2124, 7.04157
1285	D006t	Honselersdijk	ZH	NL		52.0041, 4.22121
1286	L196p	Weeze	Dui	DE		51.6261, 6.19639
1287	L054a	Afferden	Gl	NL		51.8896, 5.64485
1288	L191p	Afferden	Lb	NL		51.6463, 6.02327
1289	L089p	Alphen	Gl	NL		51.8275, 5.47596
1290	L081p	Beek	Gl	NL		51.9126, 6.19891
1291	M021p	Gescher	Dui	DE		51.95, 7
1292	M045a	Anholt	Dui	DE		51.848, 6.42684
1293	M045b	Werth	Dui	DE		51.8204, 6.51082
1294	M045p	Isselburg	Dui	DE		51.8337, 6.46464
1295	C051p	Emden	Dui	DE		53.3594, 7.20608
1296	M046d	Suderwick	Dui	DE		51.8592, 6.50222
1297	L037t	Ijzevoorde	Gl	NL		51.974, 6.32974
1298	M047p	Bocholt	Dui	DE		51.838, 6.61263
1299	F199b	Rha	Gl	NL		52.0333, 6.15
1300	L035a	Eldrik	Gl	NL		51.9833, 6.18333
1301	M051p	Rhede	Dui	DE		51.8333, 6.7
1302	M056a	Ramsdorf	Dui	DE		51.8869, 6.92278
1303	M056p	Velen	Dui	DE		51.9, 6.98333
1304	M058p	Borken	Dui	DE		51.85, 6.85
1305	F199a	Olburgen	Gl	NL		52.0333, 6.11667
1306	M071p	Haldern	Dui	DE		51.775, 6.45915
1307	G286p	Vreden	Dui	DE		52.0354, 6.82455
1308	D002p	s-Gravenzande	ZH	NL		52.0002, 4.1506
1309	D003a	Ter Heijde	ZH	NL		52.0345, 4.17746
1310	D003p	Monster	ZH	NL		52.0222, 4.17122
1311	D004p	Loosduinen	ZH	NL		52.0537, 4.23306
1312	D005p	Den Haag	ZH	NL		52.0796, 4.29665
1313	D006a	Kwintsheul	ZH	NL		52.0184, 4.2557
1314	M072p	Praest	Dui	DE		51.8229, 6.34334
1315	D006p	Wateringen	ZH	NL		52.0232, 4.27023
1316	M086p	Raesfeld	Dui	DE		51.7667, 6.83333
1317	M101p	Lttingen	Dui	DE		51.6738, 6.46057
1318	M102p	Marienbaum	Dui	DE		51.697, 6.37455
1319	M106p	Bislich	Dui	DE		51.6792, 6.49306
1320	M107p	Hamminkeln	Dui	DE		51.7275, 6.59489
1321	M131p	Birten	Dui	DE		51.6278, 6.48631
1322	G296p	Ahaus	Dui	DE		52.0806, 7.00964
1323	M161p	Issum	Dui	DE		51.5382, 6.42374
1324	M162p	Kapellen	Dui	DE		51.5711, 6.36277
1325	E029b	Wadway	NH	NL		52.6844, 4.96704
1326	K100b	De Werken	NB	NL		51.8183, 4.90694
1327	E060p	Wijdenes	NH	NL		52.6407, 5.16147
1328	M166p	Alpen	Dui	DE		51.5781, 6.51636
1329	G098p	Laar	Dui	DE		52.6153, 6.73595
1330	E112p	Noordwijkerhout	ZH	NL		52.266, 4.4887
1331	E113p	Ruigenhoek	ZH	NL		52.2912, 4.5253
1332	E114p	Hillegom	ZH	NL		52.2935, 4.57914
1333	E115p	Lisse	ZH	NL		52.2606, 4.55434
1334	E131b	Noordwijk-Binnen	ZH	NL		52.2262, 4.42453
1335	E131p	Noordwijk aan Zee	ZH	NL		52.2432, 4.43483
1336	E133p	Katwijk aan Zee	ZH	NL		52.2093, 4.41323
1337	E134p	Katwijk aan den Rijn	ZH	NL		52.196, 4.41961
1338	E135p	Rijnsburg	ZH	NL		52.1912, 4.44101
1339	E136p	Oegstgeest	ZH	NL		52.1929, 4.46786
1340	E138a	Warmond	ZH	NL		52.1979, 4.50174
1341	E138c	De Engel	ZH	NL		52.2431, 4.55061
1342	E138p	Sassenheim	ZH	NL		52.2304, 4.52445
1343	E139p	Hoogmade	ZH	NL		52.1707, 4.58441
1344	E140a	Oude Wetering	ZH	NL		52.2163, 4.6455
1345	E140h	Nieuwe Wetering	ZH	NL		52.2087, 4.61975
1346	E140m	Oud-Ade	ZH	NL		52.1955, 4.56418
1347	E140p	Roelofarendsveen	ZH	NL		52.1994, 4.62701
1348	E140q	Rijpwetering	ZH	NL		52.1953, 4.58397
1349	E141p	Leimuiden	ZH	NL		52.2252, 4.67835
1350	E142a	Langeraar	ZH	NL		52.1971, 4.71481
1351	E142p	Rijnsaterwoude	ZH	NL		52.2031, 4.67768
1352	E143p	Ter Aar	ZH	NL		52.1712, 4.70557
1353	E143q	Korteraar	ZH	NL		52.1811, 4.747
1354	E144p	Nieuwveen	ZH	NL		52.2001, 4.7594
1355	E145p	Zevenhoven	ZH	NL		52.1782, 4.80129
1356	G101p	Ringe	Dui	DE		52.6014, 6.91644
1357	E165p	Wassenaar	ZH	NL		52.1362, 4.38595
1358	E166p	Veur	ZH	NL		52.0876, 4.38906
1359	E167p	Leiden	ZH	NL		52.1685, 4.49726
1360	E168p	Voorschoten	ZH	NL		52.1274, 4.4221
1361	E169p	Stompwijk	ZH	NL		52.1009, 4.46064
1362	E170p	Zoeterwoude	ZH	NL		52.1231, 4.50323
1363	E171p	Leiderdorp	ZH	NL		52.1517, 4.5356
1364	E172p	Woubrugge	ZH	NL		52.1636, 4.63726
1365	E173p	Koudekerk aan den Rijn	ZH	NL		52.1287, 4.59985
1366	I009a	Vierpolders	ZH	NL		51.8833, 4.18333
1367	E174p	Hazerswoude	ZH	NL		52.0957, 4.59993
1368	E175p	Oudshoorn	ZH	NL		52.1475, 4.65678
1369	E176p	Alphen aan den Rijn	ZH	NL		52.151, 4.67547
1370	E177p	Nieuwkoop	ZH	NL		52.1557, 4.78081
1371	E178p	Aarlanderveen	ZH	NL		52.1452, 4.7389
1372	E179p	Zwammerdam	ZH	NL		52.1086, 4.72475
1373	E179q	Meije	ZH	NL		52.1183, 4.7803
1374	E180p	Bodegraven	ZH	NL		52.0948, 4.75228
1375	E195a	Leidschendam	ZH	NL		52.0787, 4.40393
1376	E195p	Voorburg	ZH	NL		52.1029, 4.47326
1377	F129w	Broekland	Gl	NL		52.2763, 5.9972
1378	E197p	Nootdorp	ZH	NL		52.0474, 4.39602
1379	E198a	Delfgauw	ZH	NL		52.0135, 4.40132
1380	E198p	Delft	ZH	NL		52.0021, 4.34904
1381	E199p	Pijnacker	ZH	NL		52.0175, 4.43508
1382	E200p	Zoetermeer	ZH	NL		52.0591, 4.49691
1383	E202p	Benthuizen	ZH	NL		52.0772, 4.54359
1384	E203p	Moerkapelle	ZH	NL		52.0438, 4.58214
1385	E204p	Bleiswijk	ZH	NL		52.0192, 4.53559
1386	E206p	Boskoop	ZH	NL		52.0825, 4.68618
1387	E207p	Waddinxveen	ZH	NL		52.0475, 4.65841
1388	E208p	Reeuwijk	ZH	NL		52.058, 4.6992
1389	E208q	Sluipwijk	ZH	NL		52.0479, 4.72969
1390	E209p	Gouda	ZH	NL		52.0198, 4.72404
1391	E210a	Nieuwerbrug	ZH	NL		52.0861, 4.82071
1392	E210p	Waarder	ZH	NL		52.0624, 4.82203
1393	E211p	Driebruggen	ZH	NL		52.0483, 4.81715
1394	I030a	Ellemeet	Ze	NL		51.7297, 3.81639
1395	I035u	Brijdorpe	Ze	NL		51.7195, 3.87018
1396	E198h	"""Delft (""""hoog"""")"""	ZH	NL		52.0021, 4.34904
1397	G119a	Wielen	Dui	DE		52.5451, 6.73052
1398	G126p	Wietmarschen	Dui	DE		52.5176, 7.1343
1399	G131p	Lingen	Dui	DE		52.5298, 7.32124
1400	E174a	Rietveld	ZH	NL		52.1031, 4.62667
1401	I053q	Zijpe	Ze	NL		51.651, 4.09721
1402	E177a	Achttienhoven	ZH	NL		52.1474, 4.85931
1403	X022p	Leer	Dui	DE		53.2356, 7.46789
1404	X030p	Papenburg	Dui	DE		53.0755, 7.41935
1405	E177s	Woerdense Verlaat	ZH	NL		52.1548, 4.86444
1406	F099p	Doornspijk	Gl	NL		52.4232, 5.8172
1407	F100a	Oostendorp	Gl	NL		52.452, 5.87666
1408	F100p	Elburg	Gl	NL		52.4593, 5.83797
1409	F100z	De Vrijheid	Gl	NL		52.4645, 5.86302
1410	F102p	Oldebroek	Gl	NL		52.4537, 5.90933
1411	F103a	Hattemerbroek	Gl	NL		52.4823, 6.04394
1412	F103p	Hattem	Gl	NL		52.4769, 6.07296
1413	F104p	Wapenveld	Gl	NL		52.4328, 6.09369
1414	F108p	Harderwijk	Gl	NL		52.3558, 5.62362
1415	F109p	Hierden	Gl	NL		52.3619, 5.67966
1416	F110p	Hulshorst	Gl	NL		52.3643, 5.74026
1417	F111a	Wessinge	Gl	NL		52.4057, 5.84659
1418	F111p	Nunspeet	Gl	NL		52.3819, 5.79185
1419	F112a	t Harde	Gl	NL		52.4176, 5.88954
1420	F112b	Zuuk	Gl	NL		52.3414, 6.00114
1421	F112p	Epe	Gl	NL		52.3549, 5.98911
1422	F113p	Heerde	Gl	NL		52.3926, 6.04414
1423	F114p	Veessen	Gl	NL		52.3826, 6.09544
1424	F115p	Oene	Gl	NL		52.3498, 6.05521
1425	F119a	Vorchten	Gl	NL		52.404, 6.11209
1426	F122p	Ermelo	Gl	NL		52.3038, 5.63809
1427	F123a	Veldwijk	Gl	NL		52.3045, 5.60402
1428	F123p	Telgt	Gl	NL		52.2901, 5.59074
1429	F124a	Hoef	Gl	NL		52.2609, 5.54336
1430	F125a	Staverden	Gl	NL		52.2842, 5.74013
1431	F125p	Speuld	Gl	NL		52.2718, 5.70752
1432	F126a	Leuvenum	Gl	NL		52.2964, 5.72345
1433	F126p	Elspeet	Gl	NL		52.298, 5.79871
1434	F127p	Uddel	Gl	NL		52.2638, 5.79026
1435	F128p	Vierhouten	Gl	NL		52.3349, 5.84077
1436	F129a	Gortel	Gl	NL		52.3191, 5.90521
1437	F129b	Emst	Gl	NL		52.3169, 5.98402
1438	F129c	Wenum	Gl	NL		52.2665, 5.96709
1439	F129d	Beemte	Gl	NL		52.2595, 5.99544
1440	F129p	Vaassen	Gl	NL		52.2957, 5.97865
1441	F130p	Nijbroek	Gl	NL		52.2977, 6.07172
1442	F130q	Geere	Gl	NL		52.2957, 6.03356
1443	F131p	Terwolde	Gl	NL		52.2891, 6.10412
1444	F142a	Nijkerkerveen	Gl	NL		52.1987, 5.46554
1445	F142b	Holk	Gl	NL		52.2258, 5.45188
1446	F142p	Nijkerk	Gl	NL		52.2261, 5.48842
1447	F143p	Hoevelaken	Gl	NL		52.175, 5.46549
1448	F144a	Appel	Gl	NL		52.1902, 5.5558
1449	F144b	Huinen	Gl	NL		52.2346, 5.60876
1450	F144c	Zwartebroek	Gl	NL		52.1862, 5.51673
1451	F144d	Diermen	Gl	NL		52.2463, 5.52859
1452	F144j	Koudhoorn	Gl	NL		52.2358, 5.66664
1453	F144p	Voorthuizen	Gl	NL		52.1966, 5.6172
1454	F144q	Garderbroek	Gl	NL		52.1775, 5.66476
1455	F145p	Garderen	Gl	NL		52.2406, 5.73065
1456	F146p	Meerveld	Gl	NL		52.2345, 5.77528
1457	F147p	Stroe	Gl	NL		52.1839, 5.70131
1458	F148p	Kootwijk	Gl	NL		52.1899, 5.77895
1459	F149p	Hoog Soeren	Gl	NL		52.2266, 5.88282
1460	F150p	Het Loo	Gl	NL		52.2441, 5.95765
1461	F151p	Apeldoorn	Gl	NL		52.2177, 5.98878
1462	F152p	Wormen	Gl	NL		52.2044, 5.97998
1463	F153p	Ugchelen	Gl	NL		52.1847, 5.91278
1464	F154p	Teuge	Gl	NL		52.2395, 6.0495
1465	F155p	Twello	Gl	NL		52.2442, 6.11152
1466	F156p	Wilp	Gl	NL		52.2262, 6.1498
1467	F157a	Klarenbeek	Gl	NL		52.1787, 6.06786
1468	F157p	Gietelo	Gl	NL		52.2007, 6.12704
1469	F157z	De Hooilanden	Gl	NL		52.1957, 6.03616
1470	F158z	Voorsterklei	Gl	NL		52.1734, 6.16208
1471	F160q	Epse	Gl	NL		52.2302, 6.19505
1472	F161p	Gorssel	Gl	NL		52.2065, 6.20274
1473	F162p	Joppe	Gl	NL		52.2164, 6.25367
1474	F163p	Eefde	Gl	NL		52.1804, 6.23877
1475	F164p	Harfsen	Gl	NL		52.184, 6.28955
1476	F170a	Harselaar	Gl	NL		52.1667, 5.58004
1477	F170b	Terschuur	Gl	NL		52.1681, 5.52935
1478	F170c	De Glind	Gl	NL		52.1213, 5.53326
1479	F170e	Kootwijkerbroek	Gl	NL		52.1579, 5.66109
1480	F170p	Barneveld	Gl	NL		52.148, 5.59009
1481	F170q	Kallenbroek	Gl	NL		52.1569, 5.51259
1482	F171a	Meulunteren	Gl	NL		52.1081, 5.63142
1483	F171b	Overwoud	Gl	NL		52.1255, 5.64215
1484	F171h	Nederwoud	Gl	NL		52.1212, 5.57984
1485	F171p	Lunteren	Gl	NL		52.09, 5.62626
1486	F172a	Harskamp	Gl	NL		52.1367, 5.75923
1487	F172p	Otterlo	Gl	NL		52.107, 5.7767
1488	F173a	Woeste Hoeve	Gl	NL		52.1091, 5.95188
1489	F173p	Hoenderloo	Gl	NL		52.1244, 5.88776
1490	F174p	Beekbergen	Gl	NL		52.1633, 5.96423
1491	F175p	Loenen	Gl	NL		52.121, 6.01736
1492	F175z	Zilven	Gl	NL		52.0994, 6.02009
1493	F176p	Eerbeek	Gl	NL		52.1119, 6.07495
1494	F177a	Oeken	Gl	NL		52.1168, 6.14439
1495	F177b	Voorstonden	Gl	NL		52.1317, 6.15477
1496	F177p	Hall	Gl	NL		52.1148, 6.10891
1497	F178a	Empe	Gl	NL		52.1564, 6.13746
1498	F178p	Brummen	Gl	NL		52.0908, 6.1566
1499	F178z	Rhienderen	Gl	NL		52.1028, 6.13201
1500	F179a	De Marsch	Gl	NL		52.1565, 6.17395
1501	F179p	Zutphen	Gl	NL		52.1482, 6.19762
1502	F180a	Leesten	Gl	NL		52.1283, 6.24335
1503	F180p	Warnsveld	Gl	NL		52.144, 6.22896
1504	F181p	Almen	Gl	NL		52.1652, 6.30691
1505	F182p	Vierakker	Gl	NL		52.1174, 6.23403
1506	F182q	Cortenoever	Gl	NL		52.1046, 6.19835
1507	F183p	Baak	Gl	NL		52.0884, 6.24511
1508	F184p	Vorden	Gl	NL		52.1155, 6.31956
1509	F186a	Holevoet	Gl	NL		52.0734, 5.47543
1510	F192a	De Klomp	Gl	NL		52.0496, 5.58257
1511	F192p	Ederveen	Gl	NL		52.0592, 5.58514
1512	F193p	Ede	Gl	NL		52.0484, 5.68014
1513	F194p	Bennekom	Gl	NL		52.0094, 5.68746
1514	F194q	Wolfheze	Gl	NL		52.0113, 5.79456
1515	F195p	Schaarsbergen	Gl	NL		52.0372, 5.87668
1516	F196p	Terlet	Gl	NL		52.0678, 5.93872
1517	F197p	Rozendaal	Gl	NL		52.0121, 5.984
1518	F198p	Laag-Soeren	Gl	NL		52.0813, 6.08561
1519	F199p	Spankeren	Gl	NL		52.064, 6.11871
1520	F201p	Ellecom	Gl	NL		52.0348, 6.09853
1521	F202p	De Steeg	Gl	NL		52.0275, 6.07011
1522	F203p	Rheden	Gl	NL		52.0161, 6.04215
1523	F204p	Doesburg	Gl	NL		52.0196, 6.13972
1524	B085c	Jorwerd / Jorwert	Fr	NL		53.1466, 5.71181
1525	F205a	Wichmond	Gl	NL		52.0847, 6.27136
1526	F205b	Toldijk	Gl	NL		52.0485, 6.23576
1527	F205p	Steenderen	Gl	NL		52.0666, 6.19361
1528	F205z	Bronkhorst	Gl	NL		52.0804, 6.18425
1529	F206a	Keijenborg	Gl	NL		52.0357, 6.29111
1530	F207p	Drempt	Gl	NL		52.0104, 6.16229
1531	F208p	Hoog-Keppel	Gl	NL		52.0111, 6.20322
1532	F209p	Hummelo	Gl	NL		52.0099, 6.22795
1533	G086p	Meppen	Dui	DE		52.7, 7.3
1534	G099p	Emlichheim	Dui	DE		52.6063, 6.85217
1535	G100p	Hoogstede	Dui	DE		52.5802, 6.94904
1536	G119p	Itterbeck	Dui	DE		52.5062, 6.80338
1537	G145p	Uelsen	Dui	DE		52.4968, 6.8894
1538	G147p	Neuenhaus	Dui	DE		52.4986, 6.96812
1539	G150p	Lage	Dui	DE		52.4678, 6.9614
1540	G161p	Nordhorn	Dui	DE		52.4367, 7.07047
1541	G221a	Groot Dochteren	Gl	NL		52.1802, 6.34424
1542	G221b	Exel	Gl	NL		52.1838, 6.39351
1543	G221c	Oolde	Gl	NL		52.2113, 6.34338
1544	G221z	Verwolde	Gl	NL		52.2024, 6.40357
1545	G222a	Nettelhorst	Gl	NL		52.1838, 6.5
1546	G227p	Gelselaar	Gl	NL		52.176, 6.53277
1547	G246a	Langen	Gl	NL		52.1532, 6.44197
1548	G246b	Klein Dochteren	Gl	NL		52.1596, 6.3443
1549	G246p	Lochem	Gl	NL		52.1636, 6.41941
1550	G247p	Barchem	Gl	NL		52.1306, 6.44904
1551	G247q	Zwiep	Gl	NL		52.1395, 6.46952
1552	G248a	Marienvelde	Gl	NL		52.0898, 6.45465
1553	G248p	Ruurlo	Gl	NL		52.0898, 6.45465
1554	G250a	Lochuizen	Gl	NL		52.1574, 6.6144
1555	G250p	Noordijk	Gl	NL		52.1593, 6.57948
1556	G251a	Rietmolen	Gl	NL		52.1619, 6.66115
1557	G251p	Neede	Gl	NL		52.1436, 6.62314
1558	G252p	Borculo	Gl	NL		52.1227, 6.52887
1559	G253p	Haarlo	Gl	NL		52.1172, 6.58797
1560	G254p	Olden Eibergen	Gl	NL		52.1048, 6.60991
1561	G255p	Eibergen	Gl	NL		52.1074, 6.66011
1562	G259p	Rekken	Gl	NL		52.1056, 6.73346
1563	G259q	Holterhoek	Gl	NL		52.0911, 6.69811
1564	G278p	Zelhem	Gl	NL		52.0115, 6.35175
1565	G279a	Zieuwent	Gl	NL		52.0156, 6.52361
1566	G279p	Beltrum	Gl	NL		52.0623, 6.55919
1567	G279q	Hupsel	Gl	NL		52.0811, 6.63558
1568	G280p	Groenlo	Gl	NL		52.0485, 6.62506
1569	G280q	Lievelde	Gl	NL		52.0227, 6.58746
1570	G285a	Ammeloer Venn	Dui	DE		52.0735, 6.7583
1571	G285p	Meddo	Gl	NL		52.0234, 6.70118
1572	I002p	Oostvoorne	ZH	NL		51.921, 4.09077
1573	I003a	Maasdijk	ZH	NL		51.9654, 4.19194
1574	I003p	Naaldwijk	ZH	NL		51.9959, 4.18607
1575	I004p	De Lier	ZH	NL		51.975, 4.2467
1576	I005q	t Woudt	ZH	NL		51.9952, 4.26942
1577	I006p	Maasland	ZH	NL		51.9881, 4.18275
1578	I009q	Tinte	ZH	NL		51.8882, 4.11489
1579	I014a	Blankenburg	ZH	NL		51.8948, 4.23715
1580	I014p	Rozenburg	ZH	NL		51.9096, 4.21862
1581	I015p	Heenvliet	ZH	NL		51.868, 4.23229
1582	I016p	Geervliet	ZH	NL		51.8597, 4.24962
1583	I022a	Stellendam	ZH	NL		51.8092, 4.01905
1584	I022p	Melissant	ZH	NL		51.7711, 4.09408
1585	I026p	Oudenhoorn	ZH	NL		51.8297, 4.18044
1586	I027a	Simonshaven	ZH	NL		51.8254, 4.27866
1587	I029p	Piershil	ZH	NL		51.7961, 4.30905
1588	I031a	Oudendijke	Ze	NL		51.7289, 3.8036
1589	I031p	Noordwelle	Ze	NL		51.717, 3.77942
1590	I035a	Scharendijke	Ze	NL		51.7358, 3.82696
1591	I035b	Duivendijke	Ze	NL		51.7138, 3.88945
1592	I035c	Looperskapelle	Ze	NL		51.7289, 3.84979
1593	I035p	Elkerzee	Ze	NL		51.7259, 3.83131
1594	I037p	Zonnemaire	Ze	NL		51.7154, 3.94008
1595	I038a	Moriaanshoofd	Ze	NL		51.6917, 3.84002
1596	I039a	Schuddebeurs	Ze	NL		51.6776, 3.93628
1597	I039p	Noordgouwe	Ze	NL		51.6956, 3.92617
1598	I043p	Nieuwe-Tonge	ZH	NL		51.7173, 4.16187
1599	I045h	Langstraat	ZH	NL		51.6726, 4.27489
1600	I054p	Stavenisse	Ze	NL		51.5906, 4.01164
1601	I056p	St. Philipsland	Ze	NL		51.6251, 4.16637
1602	I060p	Domburg	Ze	NL		51.5577, 3.50446
1603	I062b	Gapinge	Ze	NL		51.5406, 3.62567
1604	I065p	Sint Laurens	Ze	NL		51.5207, 3.61045
1605	I066a	Kleverskerke	Ze	NL		51.5141, 3.67167
1606	I067c	Kamperland	Ze	NL		51.5634, 3.69032
1607	I067d	Geersdijk	Ze	NL		51.5637, 3.75984
1608	I067h	Oud-Sabbinge	Ze	NL		51.5292, 3.79057
1609	I067q	Wolphaartsdijk	Ze	NL		51.5371, 3.82179
1610	I068p	Kats	Ze	NL		51.5656, 3.87783
1611	I069a	s-Heer Hendrikskinderen	Ze	NL		51.5008, 3.8575
1612	I074p	Scherpenisse	Ze	NL		51.5499, 4.10588
1613	K008q	Rodenrijs-Oud	ZH	NL		51.9699, 4.44266
1614	K010q	Klein Hitland	ZH	NL		51.9623, 4.65122
1615	K012p	Ouderkerk aan den IJssel	ZH	NL		51.9354, 4.63603
1616	K013p	Moordrecht	ZH	NL		51.9852, 4.66952
1617	K016a	Haastrecht	ZH	NL		52.0052, 4.7884
1618	K016q	Het Beijersche	ZH	NL		51.9878, 4.73613
1619	K018a	Ammerstol	ZH	NL		51.9349, 4.8085
1620	K018q	Bergstoep	ZH	NL		51.9298, 4.78739
1621	K039p	Culemborg	Gl	NL		51.9592, 5.22849
1622	K040a	Zoelmond	Gl	NL		51.9462, 5.31731
1623	K040b	Ravenswaaij	Gl	NL		51.9537, 5.33394
